alpha,mean_norm_sq
0.0000,1.000628
0.0101,1.000034
0.0203,0.999561
0.0304,0.999123
0.0405,0.999967
0.0506,0.999741
0.0608,0.999850
0.0709,0.999218
0.0810,1.000056
0.0911,0.999836
0.1013,0.999723
0.1114,1.000515
0.1215,1.000491
0.1316,0.999691
0.1418,0.999880
0.1519,0.999456
0.1620,1.001025
0.1722,0.999685
0.1823,1.000042
0.1924,0.999600
0.2025,1.000236
0.2127,1.000797
0.2228,1.000075
0.2329,1.000524
0.2430,0.999927
0.2532,0.999910
0.2633,1.000945
0.2734,0.999210
0.2835,0.999495
0.2937,0.999030
0.3038,0.999927
0.3139,1.000919
0.3241,0.999391
0.3342,1.000822
0.3443,0.999051
0.3544,0.999614
0.3646,1.000346
0.3747,1.000396
0.3848,0.999706
0.3949,0.999586
0.4051,0.999125
0.4152,0.999629
0.4253,1.000741
0.4354,0.999749
0.4456,0.999335
0.4557,0.998881
0.4658,1.000287
0.4759,0.999912
0.4861,1.001025
0.4962,1.000576
0.5063,1.000747
0.5165,1.000695
0.5266,1.000067
0.5367,1.000036
0.5468,1.000295
0.5570,0.999516
0.5671,1.000910
0.5772,1.000403
0.5873,1.000442
0.5975,1.000973
0.6076,1.000375
0.6177,0.999774
0.6278,1.000940
0.6380,1.000299
0.6481,1.000464
0.6582,0.999841
0.6684,1.000937
0.6785,1.000637
0.6886,0.999945
0.6987,0.999476
0.7089,0.999647
0.7190,0.999551
0.7291,1.000162
0.7392,1.000218
0.7494,0.999523
0.7595,0.999739
0.7696,1.000476
0.7797,0.999165
0.7899,1.000089
0.8000,1.000207
