# Multi-Orbit Identity Theory — Resonance scan data
"# Pablo Nogueira Grossi, G6LLC, May 2026"
# Zenodo: 10.5281/zenodo.19210058

## R1 Resonance Detection
inv_distance_delta,similarity_R1
0.0000,1.000000
0.0202,0.998725
0.0404,0.994911
0.0606,0.988587
0.0808,0.979801
0.1010,0.968618
0.1212,0.955124
0.1414,0.939419
0.1616,0.921618
0.1818,0.901851
0.2020,0.880260
0.2222,0.856997
0.2424,0.832223
0.2626,0.806107
0.2828,0.778821
0.3030,0.750541
0.3232,0.721446
0.3434,0.691713
0.3636,0.661515
0.3838,0.631023
0.4040,0.600404
0.4242,0.569816
0.4444,0.539408
0.4646,0.509321
0.4848,0.479688
0.5051,0.450628
0.5253,0.422250
0.5455,0.394652
0.5657,0.367917
0.5859,0.342120
0.6061,0.317321
0.6263,0.293570
0.6465,0.270904
0.6667,0.249352
0.6869,0.228930
0.7071,0.209645
0.7273,0.191495
0.7475,0.174471
0.7677,0.158556
0.7879,0.143725
0.8081,0.129950
0.8283,0.117195
0.8485,0.105423
0.8687,0.094592
0.8889,0.084658
0.9091,0.075574
0.9293,0.067293
0.9495,0.059766
0.9697,0.052946
0.9899,0.046785
1.0101,0.041236
1.0303,0.036252
1.0505,0.031789
1.0707,0.027805
1.0909,0.024258
1.1111,0.021110
1.1313,0.018323
1.1515,0.015864
1.1717,0.013700
1.1919,0.011801
1.2121,0.010139
1.2323,0.008689
1.2525,0.007428
1.2727,0.006333
1.2929,0.005386
1.3131,0.004569
1.3333,0.003866
1.3535,0.003263
1.3737,0.002747
1.3939,0.002306
1.4141,0.001932
1.4343,0.001614
1.4545,0.001345
1.4747,0.001118
1.4949,0.000927
1.5152,0.000766
1.5354,0.000632
1.5556,0.000520
1.5758,0.000427
1.5960,0.000349
1.6162,0.000285
1.6364,0.000232
1.6566,0.000189
1.6768,0.000153
1.6970,0.000124
1.7172,0.000100
1.7374,0.000080
1.7576,0.000064
1.7778,0.000051
1.7980,0.000041
1.8182,0.000033
1.8384,0.000026
1.8586,0.000021
1.8788,0.000016
1.8990,0.000013
1.9192,0.000010
1.9394,0.000008
1.9596,0.000006
1.9798,0.000005
2.0000,0.000004

## R2 Resonance Amplification (lambda=1.35)
iteration_t,Inv_Gt
0,1.000000
1,1.350000
2,1.822500
3,2.460375
4,3.321506
5,4.484033
6,6.053445
7,6.500000
8,6.500000
9,6.500000
10,6.500000
11,6.500000
